id;month_year;employee_id;employee_name;gender;age;salary;function_group;company_name;company_city;company_state;company_type;const_site_category;pay_month
293872022-01-01;01/01/2022;29387;Kaleb Ellis;Male;33;1870;Machine Operators;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
291912022-01-01;01/01/2022;29191;Preston Stevens;Male;29;1870;Machine Operators;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
297382022-01-01;01/01/2022;29738;Erik Murray;Male;30;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
299912022-01-01;01/01/2022;29991;Owen Ford;Male;21;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
294122022-01-01;01/01/2022;29412;Omar Marshall;Male;29;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
260532022-01-01;01/01/2022;26053;Diego Owens;Male;37;1798,83;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
299572022-01-01;01/01/2022;29957;Dustin McDonald;Male;19;1221;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
293932022-01-01;01/01/2022;29393;Corey Harrison;Male;21;1221;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
293922022-01-01;01/01/2022;29392;Fernando Ruiz;Male;19;1221;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
297372022-01-01;01/01/2022;29737;Clayton Kennedy;Male;27;1221;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
300812022-01-01;01/01/2022;30081;Carter Wells;Male;27;1221;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
291282022-01-01;01/01/2022;29128;Ivan Alvarez;Male;21;1221;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
291842022-01-01;01/01/2022;29184;Javier Woods;Male;19;1221;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
294142022-01-01;01/01/2022;29414;Alec Mendoza;Male;20;1221;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
290532022-01-01;01/01/2022;29053;Johnathan Castillo;Male;22;1221;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
297332022-01-01;01/01/2022;29733;Scott Olson;Male;23;2500;Production Supervisors;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
293292022-01-01;01/01/2022;29329;Manuel Webb;Male;29;1221;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
272422022-01-01;01/01/2022;27242;Cristian Washington;Male;33;1221;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
238312022-01-01;01/01/2022;23831;Alan Tucker;Male;24;1859;Professionals;The Arbors at Willow Creek;Goiania;Goias;Construction Site;Commercial;2022-01
238322022-01-01;01/01/2022;23832;Raymond Freeman;Male;18;1212;Assistants;The Arbors at Willow Creek;Goiania;Goias;Construction Site;Commercial;2022-01
234652022-01-01;01/01/2022;23465;Brett Burns;Male;23;1870;Professionals;The Retreat at Oak Forest;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
270402022-01-01;01/01/2022;27040;Andres Henry;Male;23;3000;Engineering;The Villas at Hunter's Glen;Palmas;Tocantins;Construction Site;Commercial;2022-01
236562022-01-01;01/01/2022;23656;Max Vasquez;Male;24;3884,5;Production Supervisors;The Villas at Hunter's Glen;Palmas;Tocantins;Construction Site;Commercial;2022-01
249412022-01-01;01/01/2022;24941;Gage Snyder;Male;23;1859;Administration;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
250142022-01-01;01/01/2022;25014;Mario Simpson;Male;19;3000;Engineering;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
98752022-01-01;01/01/2022;9875;Dawson Crawford;Male;25;2829,86;Administration;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
303992022-01-01;01/01/2022;30399;Dillon Jimenez;Male;24;2596,77;Engineering;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
301572022-01-01;01/01/2022;30157;Cesar Porter;Male;18;2596,77;Engineering;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
298962022-01-01;01/01/2022;29896;Wesley Mason;Male;26;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
299532022-01-01;01/01/2022;29953;Levi Shaw;Male;21;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
298932022-01-01;01/01/2022;29893;Jakob Gordon;Male;36;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
248632022-01-01;01/01/2022;24863;Martin Wagner;Male;35;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
264742022-01-01;01/01/2022;26474;Malik Hunter;Male;32;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
301282022-01-01;01/01/2022;30128;Edgar Romero;Male;23;1859;Production Supervisors;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
283592022-01-01;01/01/2022;28359;Sergio Hicks;Male;38;2640;Production Supervisors;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
282162022-01-01;01/01/2022;28216;Trenton Dixon;Male;28;2640;Production Supervisors;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
242132022-01-01;01/01/2022;24213;Josiah Hunt;Male;38;5500;Engineering;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
258362022-01-01;01/01/2022;25836;Nolan Palmer;Male;34;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
299122022-01-01;01/01/2022;29912;Marco Robertson;Male;22;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
297102022-01-01;01/01/2022;29710;Harrison Black;Male;20;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
298832022-01-01;01/01/2022;29883;Hector Holmes;Male;28;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
298812022-01-01;01/01/2022;29881;Roberto Stone;Male;29;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
233072022-01-01;01/01/2022;23307;Brady Meyer;Male;26;5012,74;Production Supervisors;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
269092022-01-01;01/01/2022;26909;Erick Boyd;Male;32;1349,18;Machine Operators;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
258352022-01-01;01/01/2022;25835;Conner Mills;Male;31;1349,18;Machine Operators;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
271372022-01-01;01/01/2022;27137;Jonah Warren;Male;26;1212;Machine Operators;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
284452022-01-01;01/01/2022;28445;Emmanuel Rose;Male;37;1212;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
298622022-01-01;01/01/2022;29862;Andre Rice;Male;29;1212;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
292492022-01-01;01/01/2022;29249;Phillip Moreno;Male;34;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
232542022-01-01;01/01/2022;23254;Brayden Schmidt;Male;32;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
271182022-01-01;01/01/2022;27118;Landon Patel;Male;21;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
286012022-01-01;01/01/2022;28601;Giovanni Ferguson;Male;29;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
289782022-01-01;01/01/2022;28978;Ronald Nichols;Male;34;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
212412022-01-01;01/01/2022;21241;Braden Herrera;Male;27;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
238912022-01-01;01/01/2022;23891;Damian Medina;Male;30;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
238902022-01-01;01/01/2022;23890;Donovan Ryan;Male;20;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
289682022-01-01;01/01/2022;28968;Ruben Fernandez;Male;31;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
285862022-01-01;01/01/2022;28586;Frank Weaver;Male;22;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
282182022-01-01;01/01/2022;28218;Andy Daniels;Female;37;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
231802022-01-01;01/01/2022;23180;Pedro Stephens;Male;36;1139,39;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
289652022-01-01;01/01/2022;28965;Gerardo Gardner;Male;36;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
303742022-01-01;01/01/2022;30374;Chance Payne;Female;38;1559,16;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
241452022-01-01;01/01/2022;24145;Abraham Kelley;Male;21;1212;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
289752022-01-01;01/01/2022;28975;Calvin Dunn;Male;26;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
289692022-01-01;01/01/2022;28969;Trey Pierce;Male;33;1212;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
289712022-01-01;01/01/2022;28971;Cade Arnold;Male;21;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
299512022-01-01;01/01/2022;29951;Donald Tran;Male;26;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
229972022-01-01;01/01/2022;22997;Derrick Spencer;Male;21;1212;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
266182022-01-01;01/01/2022;26618;Darius Peters;Male;32;1619,13;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
290182022-01-01;01/01/2022;29018;Enrique Hawkins;Male;30;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
292482022-01-01;01/01/2022;29248;Keith Grant;Male;31;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
303732022-01-01;01/01/2022;30373;Raul Hansen;Male;22;1559,16;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
232152022-01-01;01/01/2022;23215;Jaylen Castro;Male;34;1212;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
288192022-01-01;01/01/2022;28819;Troy Hoffman;Male;38;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
297142022-01-01;01/01/2022;29714;Jonathon Hart;Male;32;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
300632022-01-01;01/01/2022;30063;Cory Elliott;Male;20;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
300582022-01-01;01/01/2022;30058;Marc Cunningham;Male;28;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
291212022-01-01;01/01/2022;29121;Eli Knight;Male;30;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
284132022-01-01;01/01/2022;28413;Rafael Bradley;Female;25;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
232392022-01-01;01/01/2022;23239;Trent Carroll;Male;26;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
283612022-01-01;01/01/2022;28361;Griffin Hudson;Male;31;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
259182022-01-01;01/01/2022;25918;Colby Duncan;Male;36;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
303262022-01-01;01/01/2022;30326;Johnny Armstrong;Male;29;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
264432022-01-01;01/01/2022;26443;Chad Berry;Male;25;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
254042022-01-01;01/01/2022;25404;Armando Andrews;Male;23;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
258872022-01-01;01/01/2022;25887;Kobe Johnston;Male;30;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
289542022-01-01;01/01/2022;28954;Marcos Ray;Male;36;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
291442022-01-01;01/01/2022;29144;Caden Lane;Male;22;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
237352022-01-01;01/01/2022;23735;Cooper Riley;Male;30;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
302312022-01-01;01/01/2022;30231;Elias Carpenter;Male;33;1212;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
302332022-01-01;01/01/2022;30233;Brenden Perkins;Male;34;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
301722022-01-01;01/01/2022;30172;Israel Aguilar;Male;25;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
303282022-01-01;01/01/2022;30328;Zane Silva;Male;33;1859;Professionals;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
231662022-01-01;01/01/2022;23166;Dante Richards;Male;25;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
252652022-01-01;01/01/2022;25265;Josue Willis;Male;24;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
248772022-01-01;01/01/2022;24877;Zackary Matthews;Male;28;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
245492022-01-01;01/01/2022;24549;Allen Chapman;Male;27;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
284422022-01-01;01/01/2022;28442;Mathew Lawrence;Male;26;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
271122022-01-01;01/01/2022;27112;Dennis Garza;Male;23;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
289582022-01-01;01/01/2022;28958;Leonardo Vargas;Male;21;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
287642022-01-01;01/01/2022;28764;Philip Watkins;Male;25;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
291342022-01-01;01/01/2022;29134;Julio Wheeler;Male;27;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
254652022-01-01;01/01/2022;25465;Miles Larson;Male;26;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
302462022-01-01;01/01/2022;30246;Damien Carlson;Male;25;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
279672022-01-01;01/01/2022;27967;Ty Harper;Male;19;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
289662022-01-01;01/01/2022;28966;Gustavo George;Male;19;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
271192022-01-01;01/01/2022;27119;Drake Greene;Male;18;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
288262022-01-01;01/01/2022;28826;Jerry Guzman;Male;21;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
289702022-01-01;01/01/2022;28970;Curtis Morrison;Male;27;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
301342022-01-01;01/01/2022;30134;Lance Munoz;Male;26;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
281982022-01-01;01/01/2022;28198;Brock Jacobs;Male;24;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
274792022-01-01;01/01/2022;27479;Bryson Obrien;Male;22;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
291192022-01-01;01/01/2022;29119;Alberto Lawson;Male;23;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
283662022-01-01;01/01/2022;28366;Dominick Franklin;Male;25;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
289592022-01-01;01/01/2022;28959;Jimmy Lynch;Male;27;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
291232022-01-01;01/01/2022;29123;Kaden Bishop;Male;27;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
284142022-01-01;01/01/2022;28414;Gary Salazar;Male;25;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
291222022-01-01;01/01/2022;29122;Brennan Austin;Male;22;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
303762022-01-01;01/01/2022;30376;Zachery Mendez;Male;28;1016,52;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
302202022-01-01;01/01/2022;30220;Randy Gilbert;Female;25;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
291312022-01-01;01/01/2022;29131;Louis Jensen;Male;23;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
232562022-01-01;01/01/2022;23256;Albert Montgomery;Male;26;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
241532022-01-01;01/01/2022;24153;Nickolas Harvey;Male;25;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
291452022-01-01;01/01/2022;29145;Tony Oliver;Male;20;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
296702022-01-01;01/01/2022;29670;Fabian Howell;Male;18;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
296832022-01-01;01/01/2022;29683;Myles Sims;Male;21;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
294072022-01-01;01/01/2022;29407;Damon Burton;Male;20;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
301162022-01-01;01/01/2022;30116;Corbin Soto;Male;28;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
231822022-01-01;01/01/2022;23182;Deandre McCoy;Male;20;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
303242022-01-01;01/01/2022;30324;Ricky Welch;Male;28;1212;Assistants;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
277472022-01-01;01/01/2022;27747;Kristopher Chen;Male;34;2579;Production Supervisors;The Parkview at Golden Gate;Goiania;Goias;Construction Site;Residential;2022-01
303902022-01-01;01/01/2022;30390;Lane Schultz;Male;32;1801,8;Administration;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
303302022-01-01;01/01/2022;30330;Pablo Walters;Male;32;1859;Administration;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
275042022-01-01;01/01/2022;27504;Darren Reid;Male;31;1859;Professionals;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
280152022-01-01;01/01/2022;28015;Jarrett Fields;Male;27;1859;Professionals;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
300402022-01-01;01/01/2022;30040;Zion Walsh;Male;25;1212;Administration;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
274972022-01-01;01/01/2022;27497;Alfredo Little;Male;22;1400;Assistants;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
290272022-01-01;01/01/2022;29027;Micheal Fowler;Male;37;1859;Professionals;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
281202022-01-01;01/01/2022;28120;Angelo Bowman;Male;37;1859;Professionals;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
248242022-01-01;01/01/2022;24824;Carl Davidson;Male;22;1859;Professionals;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
231472022-01-01;01/01/2022;23147;Oliver May;Female;37;1859;Professionals;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
259842022-01-01;01/01/2022;25984;Kyler Day;Male;37;1859;Professionals;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
238892022-01-01;01/01/2022;23889;Tommy Schneider;Male;34;1859;Professionals;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
273062022-01-01;01/01/2022;27306;Walter Newman;Male;34;1859;Professionals;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
265622022-01-01;01/01/2022;26562;Jace Brewer;Female;34;1859;Professionals;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
296882022-01-01;01/01/2022;29688;Theodore Lucas;Male;26;1212;Professionals;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
216522022-01-01;01/01/2022;21652;Grayson Holland;Male;21;1053,43;Professionals;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
254082022-01-01;01/01/2022;25408;Lorenzo Wong;Male;21;1859;Production Supervisors;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
275902022-01-01;01/01/2022;27590;Joe Banks;Male;24;3610,6;Production Supervisors;The Pines at Windward;Goiania;Goias;Construction Site;Residential;2022-01
